timestamp,machine_id,line,age_months,last_maintenance_days,temp_c,vibration_mm_s,current_a,load_pct,lubricant_level_pct,alarm_count,downtime_next_24h,maintenance_ticket_closed,failure_mode
2026-01-01 00:00:00,MX-01,L1,12,82,71.7,3.5,36.66,101.3,30.0,2,0,0,none
2026-01-01 01:00:00,MX-02,L2,18,10,70.26,2.43,33.56,65.0,70.9,1,0,0,none
2026-01-01 02:00:00,MX-03,L3,25,62,73.42,2.44,33.71,77.3,40.0,1,0,0,none
2026-01-01 03:00:00,MX-04,L4,29,69,80.25,4.17,33.2,71.0,29.0,2,0,0,none
2026-01-01 04:00:00,MX-05,L1,40,41,77.07,2.77,31.24,63.9,62.2,0,0,0,none
2026-01-01 05:00:00,MX-06,L2,46,59,68.44,2.67,31.13,73.0,41.9,1,0,0,none
2026-01-01 06:00:00,MX-07,L3,52,76,72.45,2.91,31.16,75.3,36.1,1,0,0,none
2026-01-01 07:00:00,MX-08,L4,58,22,75.97,3.19,36.27,77.2,72.3,0,0,0,none
2026-01-01 08:00:00,MX-09,L1,67,31,79.18,4.85,37.23,93.6,29.6,2,0,0,none
2026-01-01 09:00:00,MX-10,L2,74,80,76.47,3.74,29.42,67.7,38.9,0,0,0,none
2026-01-01 10:00:00,MX-11,L3,81,84,73.99,4.18,30.96,60.0,17.0,2,0,0,none
2026-01-01 11:00:00,MX-12,L4,85,58,73.29,4.71,35.11,87.0,56.3,3,0,0,none
2026-01-01 12:00:00,MX-01,L1,10,54,71.63,2.96,36.74,87.2,54.6,1,0,0,none
2026-01-01 13:00:00,MX-02,L2,16,55,73.33,2.89,28.94,64.2,47.7,0,0,0,none
2026-01-01 14:00:00,MX-03,L3,23,9,74.75,2.93,32.98,76.2,68.4,4,0,0,none
2026-01-01 15:00:00,MX-04,L4,32,60,74.12,1.71,30.71,60.4,47.3,0,0,0,none
2026-01-01 16:00:00,MX-05,L1,37,13,75.82,3.32,32.92,61.5,64.1,2,0,0,none
2026-01-01 17:00:00,MX-06,L2,43,15,74.63,3.31,29.22,77.2,51.2,1,0,0,none
2026-01-01 18:00:00,MX-07,L3,52,57,81.43,3.84,30.98,71.6,20.5,2,0,0,none
2026-01-01 19:00:00,MX-08,L4,57,61,82.81,3.43,34.64,64.1,39.7,2,0,0,none
2026-01-01 20:00:00,MX-09,L1,68,54,80.16,2.83,32.72,68.2,24.4,3,0,0,none
2026-01-01 21:00:00,MX-10,L2,74,6,76.87,2.94,35.07,73.6,90.4,2,0,0,none
2026-01-01 22:00:00,MX-11,L3,82,18,80.08,3.07,37.68,105,48.6,2,0,0,none
2026-01-01 23:00:00,MX-12,L4,88,24,65.99,3.92,28.58,77.3,41.6,0,0,0,none
2026-01-02 00:00:00,MX-01,L1,10,82,82.13,3.39,32.82,80.9,52.4,0,0,0,none
2026-01-02 01:00:00,MX-02,L2,17,10,78.48,2.69,33.88,97.6,75.2,4,0,0,none
2026-01-02 02:00:00,MX-03,L3,26,91,77.7,3.49,32.3,75.0,26.1,0,0,0,none
2026-01-02 03:00:00,MX-04,L4,31,68,69.98,1.97,29.78,47.8,44.2,3,0,0,none
2026-01-02 04:00:00,MX-05,L1,38,2,68.07,2.39,27.66,82.2,69.6,1,0,0,none
2026-01-02 05:00:00,MX-06,L2,45,74,70.76,3.04,28.85,46.9,38.8,4,0,0,none
2026-01-02 06:00:00,MX-07,L3,53,66,72.56,2.98,33.57,74.5,50.0,0,0,0,none
2026-01-02 07:00:00,MX-08,L4,59,61,75.1,2.82,38.83,71.4,40.5,0,0,0,none
2026-01-02 08:00:00,MX-09,L1,68,21,72.11,3.12,29.59,50.6,71.6,1,0,0,none
2026-01-02 09:00:00,MX-10,L2,75,38,70.2,4.17,36.15,75.9,64.8,5,0,0,none
2026-01-02 10:00:00,MX-11,L3,78,59,76.54,4.55,30.79,79.8,34.3,6,0,0,none
2026-01-02 11:00:00,MX-12,L4,89,51,78.84,5.74,31.3,59.2,62.3,4,1,1,belt
2026-01-02 12:00:00,MX-01,L1,8,84,69.68,3.13,31.06,81.8,32.7,0,0,0,none
2026-01-02 13:00:00,MX-02,L2,16,19,68.74,1.58,30.12,85.9,77.0,1,0,0,none
2026-01-02 14:00:00,MX-03,L3,26,41,67.95,2.23,29.1,68.1,64.3,2,0,0,none
2026-01-02 15:00:00,MX-04,L4,32,76,76.06,2.85,32.65,80.7,56.7,0,0,0,none
2026-01-02 16:00:00,MX-05,L1,36,53,80.7,3.87,35.24,93.9,53.8,0,0,0,none
2026-01-02 17:00:00,MX-06,L2,43,57,73.19,3.58,31.12,68.8,55.7,0,0,1,none
2026-01-02 18:00:00,MX-07,L3,54,87,67.08,4.3,30.61,73.1,47.1,4,0,0,none
2026-01-02 19:00:00,MX-08,L4,59,25,76.96,4.1,30.2,67.1,60.8,2,0,1,none
2026-01-02 20:00:00,MX-09,L1,68,25,83.79,3.07,33.15,94.2,67.5,0,0,0,none
2026-01-02 21:00:00,MX-10,L2,71,80,75.43,3.3,29.57,44.8,37.2,0,0,0,none
2026-01-02 22:00:00,MX-11,L3,82,28,77.32,3.4,32.87,82.1,60.1,0,0,0,none
2026-01-02 23:00:00,MX-12,L4,89,22,82.74,4.2,33.14,97.4,76.5,2,0,0,none
2026-01-03 00:00:00,MX-01,L1,11,29,80.38,2.67,29.89,68.9,81.1,1,0,0,none
2026-01-03 01:00:00,MX-02,L2,17,75,71.78,2.63,35.32,85.9,32.5,1,0,0,none
2026-01-03 02:00:00,MX-03,L3,24,59,72.86,3.72,29.78,60.4,36.3,0,0,0,none
2026-01-03 03:00:00,MX-04,L4,32,53,69.03,3.01,28.37,50.6,45.6,0,0,0,none
2026-01-03 04:00:00,MX-05,L1,37,88,71.12,5.4,33.17,69.8,37.6,2,0,0,none
2026-01-03 05:00:00,MX-06,L2,47,11,81.37,4.4,29.72,83.3,64.5,2,0,0,none
2026-01-03 06:00:00,MX-07,L3,53,45,72.2,3.28,29.25,74.0,41.4,0,0,0,none
2026-01-03 07:00:00,MX-08,L4,58,79,80.87,4.28,34.12,76.7,,3,0,0,none
2026-01-03 08:00:00,MX-09,L1,64,3,71.39,3.29,31.47,69.3,91.2,3,0,0,none
2026-01-03 09:00:00,MX-10,L2,71,90,69.04,4.78,30.96,75.8,35.6,2,0,0,none
2026-01-03 10:00:00,MX-11,L3,82,18,76.43,2.97,37.46,79.5,39.5,2,0,0,none
2026-01-03 11:00:00,MX-12,L4,88,35,76.14,2.06,36.47,76.6,62.8,0,0,0,none
2026-01-03 12:00:00,MX-01,L1,9,61,79.09,2.35,24.39,68.4,32.0,0,0,0,none
2026-01-03 13:00:00,MX-02,L2,16,30,73.69,2.1,31.46,67.3,66.8,2,0,0,none
2026-01-03 14:00:00,MX-03,L3,26,45,77.36,2.68,34.14,81.3,38.9,4,0,0,none
2026-01-03 15:00:00,MX-04,L4,29,31,79.4,3.36,33.27,71.6,58.1,0,0,0,none
2026-01-03 16:00:00,MX-05,L1,36,70,73.57,3.12,23.58,57.8,70.7,1,0,0,none
2026-01-03 17:00:00,MX-06,L2,43,31,71.89,3.04,30.95,70.4,,0,0,0,none
2026-01-03 18:00:00,MX-07,L3,52,44,72.72,2.59,34.8,59.1,56.3,0,0,0,none
2026-01-03 19:00:00,MX-08,L4,59,46,84.67,4.57,30.66,73.8,38.8,3,0,0,none
2026-01-03 20:00:00,MX-09,L1,64,46,75.58,2.37,34.9,88.5,41.1,0,0,0,none
2026-01-03 21:00:00,MX-10,L2,73,91,82.68,4.83,33.03,88.3,50.0,2,0,0,none
2026-01-03 22:00:00,MX-11,L3,80,50,79.0,2.59,36.09,84.9,58.0,0,0,0,none
2026-01-03 23:00:00,MX-12,L4,87,13,80.61,3.27,33.2,61.0,81.9,2,0,0,none
2026-01-04 00:00:00,MX-01,L1,10,14,74.52,2.49,30.62,66.7,83.5,1,0,0,none
2026-01-04 01:00:00,MX-02,L2,17,25,75.68,1.88,29.08,54.7,53.7,1,0,0,none
2026-01-04 02:00:00,MX-03,L3,26,2,74.67,1.59,34.66,77.4,94.0,0,0,0,none
2026-01-04 03:00:00,MX-04,L4,30,72,85.08,4.71,33.86,74.0,25.5,2,0,0,none
2026-01-04 04:00:00,MX-05,L1,37,14,72.56,2.15,34.13,80.5,76.4,0,0,0,none
2026-01-04 05:00:00,MX-06,L2,45,38,70.89,3.4,30.32,81.7,59.8,1,0,0,none
2026-01-04 06:00:00,MX-07,L3,50,23,76.52,4.17,29.73,71.0,68.2,2,0,0,none
2026-01-04 07:00:00,MX-08,L4,58,14,77.46,4.13,31.54,84.2,67.0,2,0,0,none
2026-01-04 08:00:00,MX-09,L1,64,21,72.76,2.64,32.24,74.7,78.0,0,0,0,none
2026-01-04 09:00:00,MX-10,L2,72,78,72.94,4.77,29.88,55.3,58.8,3,0,0,none
2026-01-04 10:00:00,MX-11,L3,81,88,79.95,4.38,28.62,72.6,7.0,6,1,1,bearing
2026-01-04 11:00:00,MX-12,L4,87,61,75.72,3.82,26.19,43.8,40.2,0,0,0,none
2026-01-04 12:00:00,MX-01,L1,8,59,78.49,1.21,28.23,50.7,46.7,0,0,0,none
2026-01-04 13:00:00,MX-02,L2,16,17,80.45,2.12,41.19,95.5,78.7,0,0,0,none
2026-01-04 14:00:00,MX-03,L3,23,80,77.85,3.41,30.31,90.5,13.6,4,0,0,none
2026-01-04 15:00:00,MX-04,L4,30,83,84.12,5.32,28.79,97.3,45.6,2,0,0,none
2026-01-04 16:00:00,MX-05,L1,36,4,76.45,2.95,30.34,70.1,75.9,2,0,0,none
2026-01-04 17:00:00,MX-06,L2,45,69,78.55,4.2,27.43,58.0,41.0,2,0,0,none
2026-01-04 18:00:00,MX-07,L3,50,95,65.11,3.03,33.83,67.5,13.3,0,0,0,none
2026-01-04 19:00:00,MX-08,L4,61,27,71.0,2.25,24.27,43.7,63.7,1,0,0,none
2026-01-04 20:00:00,MX-09,L1,64,23,77.51,2.08,38.06,89.9,,1,0,0,none
2026-01-04 21:00:00,MX-10,L2,71,19,77.82,2.89,30.8,68.5,69.0,1,0,0,none
2026-01-04 22:00:00,MX-11,L3,81,60,82.18,4.59,30.63,76.6,59.2,2,1,1,belt
2026-01-04 23:00:00,MX-12,L4,88,63,76.93,3.23,32.14,75.7,30.4,1,0,0,none
2026-01-05 00:00:00,MX-01,L1,11,75,69.61,4.09,28.38,83.5,13.1,0,0,0,none
2026-01-05 01:00:00,MX-02,L2,19,28,71.57,3.19,32.93,80.2,60.1,0,0,0,none
2026-01-05 02:00:00,MX-03,L3,24,94,81.63,2.09,28.11,66.6,11.0,0,0,0,none
2026-01-05 03:00:00,MX-04,L4,32,10,84.73,4.04,27.58,54.9,56.9,1,0,0,none
2026-01-05 04:00:00,MX-05,L1,38,84,74.11,3.7,30.05,75.0,32.8,0,0,0,none
2026-01-05 05:00:00,MX-06,L2,46,20,76.98,3.73,33.36,79.7,68.9,0,0,0,none
2026-01-05 06:00:00,MX-07,L3,50,17,75.21,2.5,31.9,67.1,59.5,1,0,0,none
2026-01-05 07:00:00,MX-08,L4,61,57,82.72,4.35,31.5,87.4,54.3,5,0,0,none
2026-01-05 08:00:00,MX-09,L1,65,75,71.99,2.93,31.2,80.1,27.2,1,0,0,none
2026-01-05 09:00:00,MX-10,L2,73,25,69.1,4.28,40.51,96.4,70.4,4,0,0,none
2026-01-05 10:00:00,MX-11,L3,80,20,64.75,3.86,31.91,93.9,62.9,0,0,0,none
2026-01-05 11:00:00,MX-12,L4,89,33,73.41,3.07,33.88,72.9,67.2,0,0,0,none
2026-01-05 12:00:00,MX-01,L1,11,26,75.39,2.72,35.4,84.4,41.0,0,0,0,none
2026-01-05 13:00:00,MX-02,L2,18,76,73.79,2.75,32.25,76.6,43.8,0,0,0,none
2026-01-05 14:00:00,MX-03,L3,23,6,72.21,2.25,32.71,82.3,76.2,0,0,0,none
2026-01-05 15:00:00,MX-04,L4,33,56,67.63,2.14,28.53,46.2,43.4,1,0,0,none
2026-01-05 16:00:00,MX-05,L1,38,15,81.74,4.62,34.76,85.6,64.0,5,0,0,none
